condition,condition_pretty,mean,metric_key,model_label,model_label_pretty,n,sem
baseline,Control (no SC),50.666666666666664,percentile_midrank,claude-opus-4-6,Opus-4.6,10,10.86164391986661
baseline,Control (no SC),-0.11719616301372027,z_score,claude-opus-4-6,Opus-4.6,10,0.3453040546257265
baseline,Control (no SC),0.3742220334784189,actual_reward_advantage,claude-opus-4-6,Opus-4.6,10,1.6744404906468238
control,Emergent (SC),54.444444444444436,percentile_midrank,claude-opus-4-6,Opus-4.6,9,11.166528467912102
control,Emergent (SC),0.05158555666873152,z_score,claude-opus-4-6,Opus-4.6,9,0.4066932976367927
control,Emergent (SC),0.48317998740668006,actual_reward_advantage,claude-opus-4-6,Opus-4.6,9,1.3216542165510587
simple,Prompted (SC),50.666666666666664,percentile_midrank,claude-opus-4-6,Opus-4.6,10,10.538582845670554
simple,Prompted (SC),0.04977801209538556,z_score,claude-opus-4-6,Opus-4.6,10,0.3787348210563821
simple,Prompted (SC),0.2822556284715338,actual_reward_advantage,claude-opus-4-6,Opus-4.6,10,1.585703275223627
baseline,Control (no SC),48.666666666666664,percentile_midrank,deepseek-v3.2,deepseek-v3.2,10,8.12251861444314
baseline,Control (no SC),-0.2154883778461753,z_score,deepseek-v3.2,deepseek-v3.2,10,0.2745503391719735
baseline,Control (no SC),-1.830573130604717,actual_reward_advantage,deepseek-v3.2,deepseek-v3.2,10,2.2419476472284923
control,Emergent (SC),52.666666666666664,percentile_midrank,deepseek-v3.2,deepseek-v3.2,10,8.385761006272537
control,Emergent (SC),0.11394074817377856,z_score,deepseek-v3.2,deepseek-v3.2,10,0.2934399270826875
control,Emergent (SC),1.515832944638413,actual_reward_advantage,deepseek-v3.2,deepseek-v3.2,10,0.96571695598263
simple,Prompted (SC),49.33333333333333,percentile_midrank,deepseek-v3.2,deepseek-v3.2,10,8.632410933135569
simple,Prompted (SC),-0.03530521132752584,z_score,deepseek-v3.2,deepseek-v3.2,10,0.29965602137366615
simple,Prompted (SC),0.8544566300715106,actual_reward_advantage,deepseek-v3.2,deepseek-v3.2,10,2.235519947985592
baseline,Control (no SC),58.666666666666664,percentile_midrank,fw-glm-5,GLM-5,10,8.494006601607284
baseline,Control (no SC),0.2481071744144102,z_score,fw-glm-5,GLM-5,10,0.2668990020301063
baseline,Control (no SC),2.281371910856958,actual_reward_advantage,fw-glm-5,GLM-5,10,1.123280624119789
control,Emergent (SC),49.33333333333333,percentile_midrank,fw-glm-5,GLM-5,10,9.760085002665667
control,Emergent (SC),-0.01153992664591177,z_score,fw-glm-5,GLM-5,10,0.34188320370281877
control,Emergent (SC),0.3229372391738089,actual_reward_advantage,fw-glm-5,GLM-5,10,1.76661595310218
simple,Prompted (SC),59.333333333333336,percentile_midrank,fw-glm-5,GLM-5,10,7.646511348482336
simple,Prompted (SC),0.246871759240526,z_score,fw-glm-5,GLM-5,10,0.24145421953148097
simple,Prompted (SC),2.140335798193031,actual_reward_advantage,fw-glm-5,GLM-5,10,1.309164556511558
baseline,Control (no SC),50.66666666666667,percentile_midrank,fw-minimax-m2.5,MiniMax-M2.5,10,10.009871670715741
baseline,Control (no SC),-0.07304156392783648,z_score,fw-minimax-m2.5,MiniMax-M2.5,10,0.3268654158333413
baseline,Control (no SC),1.7370960890234812,actual_reward_advantage,fw-minimax-m2.5,MiniMax-M2.5,10,1.747762125241322
control,Emergent (SC),41.99999999999999,percentile_midrank,fw-minimax-m2.5,MiniMax-M2.5,10,8.479459568150627
control,Emergent (SC),-0.30283066737118786,z_score,fw-minimax-m2.5,MiniMax-M2.5,10,0.2897038308408087
control,Emergent (SC),-0.4700855458348775,actual_reward_advantage,fw-minimax-m2.5,MiniMax-M2.5,10,1.6783104067255858
simple,Prompted (SC),24.666666666666668,percentile_midrank,fw-minimax-m2.5,MiniMax-M2.5,10,7.999999999999999
simple,Prompted (SC),-0.8971658344647466,z_score,fw-minimax-m2.5,MiniMax-M2.5,10,0.2804965854158531
simple,Prompted (SC),-5.660003574509051,actual_reward_advantage,fw-minimax-m2.5,MiniMax-M2.5,10,1.9638282320952092
baseline,Control (no SC),58.66666666666667,percentile_midrank,gpt-5.4,GPT-5.4,10,10.934146311237818
baseline,Control (no SC),0.25928347204124297,z_score,gpt-5.4,GPT-5.4,10,0.3370571993491486
baseline,Control (no SC),0.40406724690091755,actual_reward_advantage,gpt-5.4,GPT-5.4,10,2.7786039997260383
control,Emergent (SC),46.66666666666667,percentile_midrank,gpt-5.4,GPT-5.4,10,11.06657742043443
control,Emergent (SC),-0.22343181666854256,z_score,gpt-5.4,GPT-5.4,10,0.3541265489500295
control,Emergent (SC),-1.2767724926813246,actual_reward_advantage,gpt-5.4,GPT-5.4,10,2.891591790903182
simple,Prompted (SC),64.00000000000001,percentile_midrank,gpt-5.4,GPT-5.4,10,8.517230176327466
simple,Prompted (SC),0.3524262486953204,z_score,gpt-5.4,GPT-5.4,10,0.22191293469580228
simple,Prompted (SC),2.952725021961231,actual_reward_advantage,gpt-5.4,GPT-5.4,10,1.3566035471648723
baseline,Control (no SC),33.99999999999999,percentile_midrank,grok-4-20-reasoning,Grok-4-20-Reasoning,5,14.847371634213392
baseline,Control (no SC),-0.40174467963101845,z_score,grok-4-20-reasoning,Grok-4-20-Reasoning,5,0.5032395350127498
baseline,Control (no SC),-0.5185782285617083,actual_reward_advantage,grok-4-20-reasoning,Grok-4-20-Reasoning,5,2.474620271795272
control,Emergent (SC),51.333333333333336,percentile_midrank,grok-4-20-reasoning,Grok-4-20-Reasoning,5,6.798692684790381
control,Emergent (SC),0.22771996255129298,z_score,grok-4-20-reasoning,Grok-4-20-Reasoning,5,0.16949437014022545
control,Emergent (SC),1.0731595017227398,actual_reward_advantage,grok-4-20-reasoning,Grok-4-20-Reasoning,5,0.9425099298029578
simple,Prompted (SC),43.333333333333336,percentile_midrank,grok-4-20-reasoning,Grok-4-20-Reasoning,5,14.757295747452437
simple,Prompted (SC),-0.23306266249177426,z_score,grok-4-20-reasoning,Grok-4-20-Reasoning,5,0.5924491164925615
simple,Prompted (SC),-3.283465179973369,actual_reward_advantage,grok-4-20-reasoning,Grok-4-20-Reasoning,5,2.099850765989766
