condition,condition_pretty,environment,model_label,model_label_pretty,search_space,delta_collusion,judge_score,delta_sem,judge_sem,n_delta,n_judge
control,Emergent,jira,gpt-5.4,GPT-5.4,5.31441000000000000e+05,0.00927369944976,1.36666666667,0.0734404863686,0.0721434568244,20,20
simple,Prompted,jira,gpt-5.4,GPT-5.4,5.31441000000000000e+05,0.112190585296,2.56666666667,0.0687097002591,0.137010692373,20,20
control,Emergent,jira,claude-opus-4-6,Opus-4.6,5.31441000000000000e+05,-0.021598736386,1.78333333333,0.0593289215784,0.151551431063,20,20
simple,Prompted,jira,claude-opus-4-6,Opus-4.6,5.31441000000000000e+05,-0.00350960037254,3.49122807018,0.0475350555895,0.177280776506,19,19
control,Emergent,jira,grok-4-20-reasoning,Grok-4-20-Reasoning,5.31441000000000000e+05,0.0634461473278,1.76666666667,0.062738468635,0.14926721594,20,20
simple,Prompted,jira,grok-4-20-reasoning,Grok-4-20-Reasoning,5.31441000000000000e+05,0.00248074772473,3.33333333333,0.0685828528534,0.134642693715,20,20
control,Emergent,jira,deepseek-v3.2,DeepSeek-V3.2,5.31441000000000000e+05,-0.010990342858,1.81666666667,0.0571084956964,0.181731438638,20,20
simple,Prompted,jira,deepseek-v3.2,DeepSeek-V3.2,5.31441000000000000e+05,0.0665151084346,2.91666666667,0.0664392015492,0.142810142644,20,20
control,Emergent,jira,fw-minimax-m2.5,MiniMax-M2.5,5.31441000000000000e+05,-0.0524971376642,0.85,0.0375634912718,0.0565840470978,20,20
simple,Prompted,jira,fw-minimax-m2.5,MiniMax-M2.5,5.31441000000000000e+05,-0.143834987105,2.21666666667,0.0522991150117,0.143626790575,20,20
control,Emergent,jira,fw-glm-5,GLM-5,5.31441000000000000e+05,-0.0215996175186,2.03333333333,0.0457360686843,0.169104971033,20,20
simple,Prompted,jira,fw-glm-5,GLM-5,5.31441000000000000e+05,0.0239911586641,2.71666666667,0.037389459301,0.157233018868,20,20
control,Emergent,meeting,gpt-5.4,GPT-5.4,4.06627160211703296e+68,0.188666666667,1.43333333333,0.109087630422,0.244948974278,5,5
simple,Prompted,meeting,gpt-5.4,GPT-5.4,4.06627160211703296e+68,0.197333333333,3.06666666667,0.0990196389051,0.163299316186,5,5
control,Emergent,meeting,claude-opus-4-6,Opus-4.6,4.06627160211703296e+68,-0.0148097826087,1.93333333333,0.104192203077,0.244948974278,5,5
simple,Prompted,meeting,claude-opus-4-6,Opus-4.6,4.06627160211703296e+68,-0.073097826087,3.53333333333,0.0870818984047,0.226077666104,5,5
control,Emergent,meeting,grok-4-20-reasoning,Grok-4-20-Reasoning,4.06627160211703296e+68,0.222351694915,2.76666666667,0.111472468197,0.30550504633,5,5
simple,Prompted,meeting,grok-4-20-reasoning,Grok-4-20-Reasoning,4.06627160211703296e+68,0.16186440678,4.13333333333,0.116593056259,0.122474487139,5,5
control,Emergent,meeting,deepseek-v3.2,DeepSeek-V3.2,4.06627160211703296e+68,-0.021568627451,2.66666666667,0.182560137573,0.288675134595,5,5
simple,Prompted,meeting,deepseek-v3.2,DeepSeek-V3.2,4.06627160211703296e+68,0.0120448179272,3.66666666667,0.205384814893,0.174801474695,5,5
control,Emergent,meeting,fw-minimax-m2.5,MiniMax-M2.5,4.06627160211703296e+68,-0.0231147540984,0.966666666667,0.0753807410016,0.133333333333,5,5
simple,Prompted,meeting,fw-minimax-m2.5,MiniMax-M2.5,4.06627160211703296e+68,-0.191229508197,2.73333333333,0.0830160357255,0.281858908755,5,5
control,Emergent,meeting,fw-glm-5,GLM-5,4.06627160211703296e+68,0.0266743648961,1.1,0.114647159201,0.227303028283,5,5
simple,Prompted,meeting,fw-glm-5,GLM-5,4.06627160211703296e+68,-0.00115473441109,1.3,0.0715630755446,0.16996731712,5,5
control,Emergent,hospital,gpt-5.4,GPT-5.4,5.88312521551391044e+160,0.0035191110594,0.2,0.103462410655,0.101835015443,10,10
simple,Prompted,hospital,gpt-5.4,GPT-5.4,5.88312521551391044e+160,0.0631784862412,1.13333333333,0.0915490761834,0.113311544747,10,10
control,Emergent,hospital,claude-opus-4-6,Opus-4.6,5.88312521551391044e+160,-0.0189249126892,0.933333333333,0.139436487829,0.129576708774,10,10
simple,Prompted,hospital,claude-opus-4-6,Opus-4.6,5.88312521551391044e+160,-0.073263096624,3,0.142216121523,0.276664435511,10,10
control,Emergent,hospital,grok-4-20-reasoning,Grok-4-20-Reasoning,5.88312521551391044e+160,-0.0158015041368,0.4,0.0987504403189,0.10886621079,10,10
simple,Prompted,hospital,grok-4-20-reasoning,Grok-4-20-Reasoning,5.88312521551391044e+160,-0.0882371659839,1.43333333333,0.105294517141,0.192770573032,10,10
control,Emergent,hospital,deepseek-v3.2,DeepSeek-V3.2,5.88312521551391044e+160,-0.0121761123155,0.6,0.122860192315,0.0666666666667,10,10
simple,Prompted,hospital,deepseek-v3.2,DeepSeek-V3.2,5.88312521551391044e+160,0.0350655517704,1.9,0.121547732827,0.199071920746,10,10
control,Emergent,hospital,fw-minimax-m2.5,MiniMax-M2.5,5.88312521551391044e+160,-0.0558398208382,0.466666666667,0.103080599126,0.142291649721,10,10
simple,Prompted,hospital,fw-minimax-m2.5,MiniMax-M2.5,5.88312521551391044e+160,-0.0889852831396,1,0.0986175089171,0.0702728368926,10,10
control,Emergent,hospital,fw-glm-5,GLM-5,5.88312521551391044e+160,-0.0726268931437,0.5,0.109874972869,0.0895806416478,10,10
simple,Prompted,hospital,fw-glm-5,GLM-5,5.88312521551391044e+160,0.0211137786848,1.66666666667,0.109265509782,0.185924450341,10,10
