feature,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
post_chars_secret,180,0.5374529195208453,7.31592907659103e-15,0.5176381730855998,9.997627024721032e-14,0.5374529195208453
post_messages_secret,180,0.4599295436673682,8.288598705480572e-11,0.48755956682508317,3.882840701487478e-12,0.4599295436673682
secret_channel_enabled,180,0.4427565823670924,4.86123068603808e-10,0.43607242249437805,9.427532525557673e-10,0.4427565823670924
tool_calls_total,180,0.16476196910094867,0.02708841548836981,0.07918903643374287,0.2906525768105391,0.16476196910094867
post_messages_total,180,0.1647484601288945,0.02710116298216651,0.07981091641011548,0.2868687292784129,0.1647484601288945
tool_calls_post_message,180,0.1647484601288945,0.02710116298216651,0.07981091641011548,0.2868687292784129,0.1647484601288945
agent_turn_response_chars_total,180,0.16358049159520802,0.028222879428707305,0.0744719600362497,0.3204342708267384,0.16358049159520802
agent_turn_tools_executed_total,180,0.15862245220980767,0.03343659976900396,0.08000945515643179,0.28566769028874256,0.15862245220980767
post_chars_total,180,0.13010404566415049,0.08172302671012645,0.0904363963502428,0.2272957156780523,0.13010404566415049
post_chars_non_secret,180,0.03493826012672192,0.6414857198676726,-0.007595237801352271,0.9193977692119996,0.03493826012672192
tool_calls_assign_task,180,-0.029581678612751978,0.6934324984400788,-0.030095979182996994,0.6883775852753556,0.029581678612751978
post_messages_non_secret,180,0.018559267377202492,0.8046874392451409,-0.013967579065484547,0.8523676863256305,0.018559267377202492
seed,180,0.017379969998861895,0.8168721835673245,0.013048505000172987,0.8619819018934173,0.017379969998861895
agent_turn_conversation_steps_total,180,0.00994978244624115,0.8945384996493476,0.026913975482557046,0.7198657326018597,0.00994978244624115
