condition,condition_pretty,mean,metric_key,metric_label,model_label,model_label_pretty,n,sem
baseline,Control (no SC),0.3426210571555418,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.036034477158439784
baseline,Control (no SC),0.5592007434944238,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,5,0.019397204371516652
baseline,Control (no SC),1.8666666666666667,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.23213980461973532
control,Emergent (SC),0.37714691675282885,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.06791875399128733
control,Emergent (SC),0.4888475836431227,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,5,0.06232173205527696
control,Emergent (SC),0.6333333333333334,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.33911649915626346
simple,Prompted (SC),0.3868906647465649,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.08985483569603057
simple,Prompted (SC),0.5304832713754647,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,5,0.0363849660768806
simple,Prompted (SC),2.2666666666666666,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.4068851871911234
baseline,Control (no SC),0.1536649824394633,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.038146017290514256
baseline,Control (no SC),0.5541666666666667,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.08426561840065284
baseline,Control (no SC),1.8666666666666665,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.29059326290271154
control,Emergent (SC),0.2114526563082851,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.03656083939909944
control,Emergent (SC),0.5033333333333333,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.0642991057480584
control,Emergent (SC),1.2333333333333336,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.35197853469904794
simple,Prompted (SC),0.25744722232567596,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.09604947187275652
simple,Prompted (SC),0.4458333333333333,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.09695896898516747
simple,Prompted (SC),2.733333333333333,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.23921166824012205
