condition,condition_pretty,mean,metric_key,model_label,model_label_pretty,n,sem
baseline,Control (no SC),48.0,percentile_midrank,claude-haiku-4-5,Claude-Haiku-4-5,20,7.093362353192187
baseline,Control (no SC),-0.12741316602037328,z_score,claude-haiku-4-5,Claude-Haiku-4-5,20,0.2546663355291934
baseline,Control (no SC),-2.183040312964457,actual_reward_advantage,claude-haiku-4-5,Claude-Haiku-4-5,20,2.5027206424871107
control,Emergent (SC),56.66666666666667,percentile_midrank,claude-haiku-4-5,Claude-Haiku-4-5,20,7.677718959499145
control,Emergent (SC),0.16700528266179204,z_score,claude-haiku-4-5,Claude-Haiku-4-5,20,0.26764313813377477
control,Emergent (SC),0.6453704493938821,actual_reward_advantage,claude-haiku-4-5,Claude-Haiku-4-5,20,2.0964568492591136
simple,Prompted (SC),46.66666666666668,percentile_midrank,claude-haiku-4-5,Claude-Haiku-4-5,20,6.844129255293027
simple,Prompted (SC),-0.2754917881626108,z_score,claude-haiku-4-5,Claude-Haiku-4-5,20,0.24224934021514746
simple,Prompted (SC),-2.0897856407242874,actual_reward_advantage,claude-haiku-4-5,Claude-Haiku-4-5,20,2.1757454571396
baseline,Control (no SC),47.33333333333334,percentile_midrank,gemini-3-flash,Gemini-3-Flash,20,6.72605129937851
baseline,Control (no SC),-0.1008085362713087,z_score,gemini-3-flash,Gemini-3-Flash,20,0.24221486915641297
baseline,Control (no SC),-0.004598623008121461,actual_reward_advantage,gemini-3-flash,Gemini-3-Flash,20,1.3091146533692475
control,Emergent (SC),51.000000000000014,percentile_midrank,gemini-3-flash,Gemini-3-Flash,20,7.27528862392438
control,Emergent (SC),-0.05509726215016143,z_score,gemini-3-flash,Gemini-3-Flash,20,0.27042549964318535
control,Emergent (SC),0.6139262406626769,actual_reward_advantage,gemini-3-flash,Gemini-3-Flash,20,1.9369394191622746
simple,Prompted (SC),61.49999999999998,percentile_midrank,gemini-3-flash,Gemini-3-Flash,20,7.187851186436914
simple,Prompted (SC),0.31180563233868996,z_score,gemini-3-flash,Gemini-3-Flash,20,0.2549988928292722
simple,Prompted (SC),1.369513971911399,actual_reward_advantage,gemini-3-flash,Gemini-3-Flash,20,1.3775406913962138
baseline,Control (no SC),58.500000000000014,percentile_midrank,gemini-3.1-flash-lite,Gemini-3.1-Flash-Lite,20,6.880241223841329
baseline,Control (no SC),0.06554127618243044,z_score,gemini-3.1-flash-lite,Gemini-3.1-Flash-Lite,20,0.2687230899863472
baseline,Control (no SC),-0.4252971809116367,actual_reward_advantage,gemini-3.1-flash-lite,Gemini-3.1-Flash-Lite,20,2.097713725478613
control,Emergent (SC),53.5,percentile_midrank,gemini-3.1-flash-lite,Gemini-3.1-Flash-Lite,20,7.114251408223861
control,Emergent (SC),-0.056276744461957795,z_score,gemini-3.1-flash-lite,Gemini-3.1-Flash-Lite,20,0.25342170078258436
control,Emergent (SC),1.5007765886010316,actual_reward_advantage,gemini-3.1-flash-lite,Gemini-3.1-Flash-Lite,20,1.5863260875135914
simple,Prompted (SC),59.5,percentile_midrank,gemini-3.1-flash-lite,Gemini-3.1-Flash-Lite,20,6.938640849770599
simple,Prompted (SC),0.19999081669877666,z_score,gemini-3.1-flash-lite,Gemini-3.1-Flash-Lite,20,0.24230115445945122
simple,Prompted (SC),2.760684927248969,actual_reward_advantage,gemini-3.1-flash-lite,Gemini-3.1-Flash-Lite,20,1.6045138694946983
baseline,Control (no SC),55.33333333333333,percentile_midrank,gpt-5.4-mini,GPT-5.4-Mini,20,7.5795971131492745
baseline,Control (no SC),0.060102085002797435,z_score,gpt-5.4-mini,GPT-5.4-Mini,20,0.2698040498135181
baseline,Control (no SC),-0.2221127972709233,actual_reward_advantage,gpt-5.4-mini,GPT-5.4-Mini,20,2.9515578808869347
control,Emergent (SC),53.666666666666664,percentile_midrank,gpt-5.4-mini,GPT-5.4-Mini,20,6.865031316080081
control,Emergent (SC),-0.013070926595150578,z_score,gpt-5.4-mini,GPT-5.4-Mini,20,0.24755955810615243
control,Emergent (SC),0.7145170100734983,actual_reward_advantage,gpt-5.4-mini,GPT-5.4-Mini,20,2.629676006753724
simple,Prompted (SC),61.16666666666665,percentile_midrank,gpt-5.4-mini,GPT-5.4-Mini,20,6.051798823973576
simple,Prompted (SC),0.46463157239588526,z_score,gpt-5.4-mini,GPT-5.4-Mini,20,0.1640814276217686
simple,Prompted (SC),4.6147177126613945,actual_reward_advantage,gpt-5.4-mini,GPT-5.4-Mini,20,1.6487484829407162
baseline,Control (no SC),60.500000000000014,percentile_midrank,gpt-5.4-nano,GPT-5.4-nano,20,6.1619232586599155
baseline,Control (no SC),0.3175222465964486,z_score,gpt-5.4-nano,GPT-5.4-nano,20,0.2061206420090961
baseline,Control (no SC),3.6243967600853466,actual_reward_advantage,gpt-5.4-nano,GPT-5.4-nano,20,2.6043339707891815
control,Emergent (SC),53.833333333333336,percentile_midrank,gpt-5.4-nano,GPT-5.4-nano,20,8.416340969901198
control,Emergent (SC),0.14812093544464527,z_score,gpt-5.4-nano,GPT-5.4-nano,20,0.29502359077630974
control,Emergent (SC),0.8461296931219247,actual_reward_advantage,gpt-5.4-nano,GPT-5.4-nano,20,3.660844881116774
simple,Prompted (SC),56.499999999999986,percentile_midrank,gpt-5.4-nano,GPT-5.4-nano,20,6.252367972469141
simple,Prompted (SC),0.15739064203603031,z_score,gpt-5.4-nano,GPT-5.4-nano,20,0.1897561276252837
simple,Prompted (SC),1.9312628493029151,actual_reward_advantage,gpt-5.4-nano,GPT-5.4-nano,20,2.25770532796844
baseline,Control (no SC),56.500000000000014,percentile_midrank,grok-4-1-fast-non-reasoning,Grok-4-1-fast-non-Reasoning,20,7.19191797857333
baseline,Control (no SC),0.08976814573646694,z_score,grok-4-1-fast-non-reasoning,Grok-4-1-fast-non-Reasoning,20,0.2577294667200877
baseline,Control (no SC),-0.03387940648374208,actual_reward_advantage,grok-4-1-fast-non-reasoning,Grok-4-1-fast-non-Reasoning,20,1.8215381566331172
control,Emergent (SC),52.500000000000014,percentile_midrank,grok-4-1-fast-non-reasoning,Grok-4-1-fast-non-Reasoning,20,7.029074955984044
control,Emergent (SC),-0.019144045708960177,z_score,grok-4-1-fast-non-reasoning,Grok-4-1-fast-non-Reasoning,20,0.24993284765112095
control,Emergent (SC),-0.85120774280608,actual_reward_advantage,grok-4-1-fast-non-reasoning,Grok-4-1-fast-non-Reasoning,20,2.098563630985969
simple,Prompted (SC),63.83333333333333,percentile_midrank,grok-4-1-fast-non-reasoning,Grok-4-1-fast-non-Reasoning,20,7.999543115608512
simple,Prompted (SC),0.36555953470611724,z_score,grok-4-1-fast-non-reasoning,Grok-4-1-fast-non-Reasoning,20,0.3171710925354241
simple,Prompted (SC),2.555249293420419,actual_reward_advantage,grok-4-1-fast-non-reasoning,Grok-4-1-fast-non-Reasoning,20,1.719001443473114
baseline,Control (no SC),57.333333333333336,percentile_midrank,grok-4-1-fast-reasoning,Grok-4-1-fast-Reasoning,20,6.906222298242978
baseline,Control (no SC),0.1989489163104092,z_score,grok-4-1-fast-reasoning,Grok-4-1-fast-Reasoning,20,0.2696284242817623
baseline,Control (no SC),1.7683663874300557,actual_reward_advantage,grok-4-1-fast-reasoning,Grok-4-1-fast-Reasoning,20,1.6897316246892964
control,Emergent (SC),45.66666666666667,percentile_midrank,grok-4-1-fast-reasoning,Grok-4-1-fast-Reasoning,20,6.343482173213016
control,Emergent (SC),-0.24539846641045893,z_score,grok-4-1-fast-reasoning,Grok-4-1-fast-Reasoning,20,0.2410843242659804
