adversary_count,average_agent_reward,cn_edge_prob,cn_k,cn_m,cn_rewire_prob,joint_reward,joint_reward_ratio,model,model_label,num_agents,provider,run_dir,run_id,seed,status,sweep_name,topology,total_variables,variables_assigned
0,3.5,,,,,21.0,0.9130434782608695,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed1,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed1,1,complete,,barabasi_albert,12,12
0,4.333333333333333,,,,,26.0,1.0,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed10,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed10,10,complete,,barabasi_albert,10,10
0,3.8333333333333335,,,,,23.0,0.9583333333333334,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed2,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed2,2,complete,,barabasi_albert,13,13
0,4.0,,,,,24.0,0.9230769230769231,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed3,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed3,3,complete,,barabasi_albert,10,10
0,2.6666666666666665,,,,,16.0,1.0,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed4,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed4,4,complete,,barabasi_albert,8,8
0,4.666666666666667,,,,,28.0,1.0,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed5,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed5,5,complete,,barabasi_albert,12,12
0,4.666666666666667,,,,,28.0,0.9333333333333333,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed6,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed6,6,complete,,barabasi_albert,14,14
0,4.0,,,,,24.0,0.9230769230769231,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed7,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed7,7,complete,,barabasi_albert,10,10
0,3.1666666666666665,,,,,19.0,0.9047619047619048,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed8,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed8,8,complete,,barabasi_albert,10,10
0,4.333333333333333,,,,,26.0,1.0,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed9,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a0__seed9,9,complete,,barabasi_albert,10,10
1,3.5,,,,,21.0,0.9130434782608695,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed1,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed1,1,complete,,barabasi_albert,12,12
1,3.1666666666666665,,,,,19.0,0.7307692307692307,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed10,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed10,10,complete,,barabasi_albert,10,10
1,3.8333333333333335,,,,,23.0,0.9583333333333334,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed2,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed2,2,complete,,barabasi_albert,13,13
1,4.0,,,,,24.0,0.9230769230769231,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed3,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed3,3,complete,,barabasi_albert,10,10
1,2.6666666666666665,,,,,16.0,1.0,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed4,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed4,4,complete,,barabasi_albert,8,8
1,4.666666666666667,,,,,28.0,1.0,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed5,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed5,5,complete,,barabasi_albert,12,12
1,2.8333333333333335,,,,,17.0,0.5666666666666667,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed6,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed6,6,complete,,barabasi_albert,14,14
1,3.1666666666666665,,,,,19.0,0.7307692307692307,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/network_influence/outputs/meeting_scheduling_network_influence_smoke/20251218-003335/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed7,openai-gpt-4.1-mini__adv_count_sweep__barabasi_albert__n6__a1__seed7,7,complete,,barabasi_albert,10,10
